ID;Loan Duration;Credit history;Purpose;Loan Amount;Savings Account;Length of Current Employment;Installment Rate as % of Income;Guarantors;Length of Current Property Residence;Age;Housing;Number of existing loans;Job;Number of dependants;foreign worker;Sex;status;Target2;Target
15;15;Existing Credits Paid Back Duly Till Now;New car;1403;Less than 100 DM;1-3 years;2;None;4;28;Rented;1;Skilled;1;Yes;female;divorced/separated/married;1;[531, 809, 700, 197, 985, 124, 10, 707, 727, 761, 82, 582, 475, 972]
16;24;Existing Credits Paid Back Duly Till Now;Radio/TV;1282;100-500 DM;1-3 years;4;None;2;32;Ownership;1;Unskilled - Resident;1;Yes;female;divorced/separated/married;2;[755, 419, 414, 577, 327, 855, 602, 321, 433, 535, 423, 172, 918, 704]
17;24;Critical Account / Other Credits Existing at Other Bank;Radio/TV;2424;No Savings Account;more than 6 years;4;None;4;53;Ownership;2;Skilled;1;Yes;male;single;1;[514, 6, 798, 800, 190, 773, 793, 4, 183, 227, 662, 843, 261, 928]
18;30;No Credits Taken / All Credits Paid Back Duly;Business;8072;No Savings Account;less than 1 year;2;None;3;25;Ownership;3;Skilled;1;Yes;male;single;1;[736, 136, 771, 402, 236, 645, 496, 113, 983, 812, 517, 131, 291, 525]
19;24;Existing Credits Paid Back Duly Till Now;Used car;12579;Less than 100 DM;more than 6 years;4;None;2;44;Free Housing;1;Highly Skilled;1;Yes;female;divorced/separated/married;2;[381, 902, 818, 205, 653, 105, 854, 87, 509, 828, 615, 304, 870, 73]
20;24;Existing Credits Paid Back Duly Till Now;Radio/TV;3430;500-1000 DM;more than 6 years;3;None;2;31;Ownership;1;Skilled;2;Yes;male;single;1;[949, 794, 914, 718, 959, 946, 599, 223, 942, 740, 426, 984, 918, 547]
21;9;Critical Account / Other Credits Existing at Other Bank;New car;2134;Less than 100 DM;1-3 years;4;None;4;48;Ownership;3;Skilled;1;Yes;male;single;1;[485, 422, 835, 823, 619, 2, 303, 581, 635, 356, 398, 502, 925, 277]
22;6;Existing Credits Paid Back Duly Till Now;Radio/TV;2647;500-1000 DM;1-3 years;2;None;3;44;Rented;1;Skilled;2;Yes;male;single;1;[150, 518, 551, 335, 929, 176, 139, 933, 345, 71, 206, 412, 23, 626]
23;10;Critical Account / Other Credits Existing at Other Bank;New car;2241;Less than 100 DM;less than 1 year;1;None;3;48;Rented;2;Unskilled - Resident;2;No;male;single;1;[156, 871, 297, 516, 325, 494, 892, 413, 151, 488, 264, 897, 515, 247]
24;12;Critical Account / Other Credits Existing at Other Bank;Used car;1804;100-500 DM;less than 1 year;3;None;4;44;Ownership;1;Skilled;1;Yes;male;single;1;[484, 933, 479, 206, 345, 157, 551, 139, 71, 867, 726, 427, 891, 925]
25;10;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;2069;No Savings Account;1-3 years;2;None;1;26;Ownership;2;Skilled;1;No;male;married/widowed;1;[290, 117, 806, 351, 140, 859, 930, 906, 407, 173, 314, 613, 270, 696]
26;6;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;1374;Less than 100 DM;1-3 years;1;None;2;36;Ownership;1;Unskilled - Resident;1;Yes;male;single;1;[38, 651, 473, 344, 316, 709, 566, 997, 119, 447, 493, 799, 463, 957]
27;6;No Credits Taken / All Credits Paid Back Duly;Radio/TV;426;Less than 100 DM;more than 6 years;4;None;4;39;Ownership;1;Unskilled - Resident;1;Yes;male;married/widowed;1;[478, 126, 649, 641, 204, 445, 443, 656, 765, 529, 440, 903, 27, 250]
28;12;All Credits at This Bank Paid Back Duly;Radio/TV;409;More than 1000 DM;1-3 years;3;None;3;42;Rented;2;Skilled;1;Yes;female;divorced/separated/married;1;[532, 649, 903, 529, 126, 656, 26, 445, 443, 725, 478, 250, 875, 641]
29;7;Existing Credits Paid Back Duly Till Now;Radio/TV;2415;Less than 100 DM;1-3 years;3;Guarantor;2;34;Ownership;1;Skilled;1;Yes;male;single;1;[447, 138, 344, 688, 799, 232, 461, 162, 38, 365, 506, 566, 416, 114]
30;60;Delay in Paying Off in the Past;Business;6836;Less than 100 DM;more than 6 years;3;None;4;63;Ownership;2;Skilled;1;Yes;male;single;2;[44, 808, 293, 728, 813, 522, 374, 815, 378, 373, 95, 788, 650, 701]
31;18;Existing Credits Paid Back Duly Till Now;Business;1913;More than 1000 DM;less than 1 year;3;None;3;36;Ownership;1;Skilled;1;Yes;male;married/widowed;1;[785, 876, 324, 109, 543, 592, 97, 705, 189, 826, 537, 452, 457, 267]
32;24;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;4020;Less than 100 DM;1-3 years;2;None;2;27;Ownership;1;Skilled;1;Yes;male;single;1;[558, 620, 338, 670, 748, 311, 174, 477, 366, 142, 202, 408, 248, 694]
33;18;Existing Credits Paid Back Duly Till Now;New car;5866;100-500 DM;1-3 years;2;None;2;30;Ownership;2;Skilled;1;Yes;male;single;1;[353, 224, 112, 454, 107, 53, 719, 459, 962, 343, 557, 984, 841, 50]
34;12;Critical Account / Other Credits Existing at Other Bank;Business;1264;No Savings Account;more than 6 years;4;None;4;57;Rented;1;Unskilled - Resident;1;Yes;male;single;1;[590, 849, 259, 263, 90, 429, 848, 448, 396, 967, 94, 975, 544, 589]
35;12;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;1474;Less than 100 DM;less than 1 year;4;None;1;33;Ownership;1;Highly Skilled;1;Yes;female;divorced/separated/married;1;[462, 638, 394, 307, 244, 909, 720, 128, 210, 238, 348, 663, 92, 595]
36;45;Critical Account / Other Credits Existing at Other Bank;Radio/TV;4746;Less than 100 DM;less than 1 year;4;None;2;25;Ownership;2;Unskilled - Resident;1;Yes;male;single;2;[639, 999, 242, 273, 11, 286, 789, 998, 194, 667, 780, 152, 145, 476]
37;48;Critical Account / Other Credits Existing at Other Bank;Education;6110;Less than 100 DM;1-3 years;1;None;3;31;Free Housing;1;Skilled;1;Yes;male;single;1;[569, 287, 981, 444, 116, 191, 467, 552, 945, 968, 255, 986, 616, 145]
38;18;Existing Credits Paid Back Duly Till Now;Radio/TV;2100;Less than 100 DM;1-3 years;4;Co-applicant;2;37;Ownership;1;Skilled;1;Yes;male;single;2;[876, 688, 162, 232, 365, 461, 625, 265, 114, 457, 109, 799, 447, 452]
39;10;Existing Credits Paid Back Duly Till Now;Domestic appliances;1225;Less than 100 DM;1-3 years;2;None;2;37;Ownership;1;Skilled;1;Yes;male;single;1;[566, 651, 25, 473, 365, 344, 799, 119, 997, 265, 461, 709, 316, 162]
40;9;Existing Credits Paid Back Duly Till Now;Radio/TV;458;Less than 100 DM;1-3 years;4;None;3;24;Ownership;1;Skilled;1;Yes;male;single;1;[741, 964, 713, 228, 762, 434, 52, 555, 661, 254, 435, 821, 313, 188]
41;30;Existing Credits Paid Back Duly Till Now;Radio/TV;2333;500-1000 DM;more than 6 years;4;None;2;30;Ownership;1;Highly Skilled;1;Yes;male;single;1;[935, 426, 692, 279, 235, 50, 959, 946, 408, 694, 142, 794, 949, 19]
42;12;Existing Credits Paid Back Duly Till Now;Radio/TV;1158;500-1000 DM;1-3 years;3;None;1;26;Ownership;1;Skilled;1;Yes;male;divorced/separated;1;[673, 810, 792, 60, 435, 647, 820, 52, 434, 661, 329, 510, 254, 913]
43;18;Delay in Paying Off in the Past;Repairs;6204;Less than 100 DM;1-3 years;2;None;4;44;Ownership;1;Unskilled - Resident;2;Yes;male;single;1;[80, 520, 833, 268, 939, 971, 292, 659, 884, 851, 958, 406, 890, 901]
44;30;Critical Account / Other Credits Existing at Other Bank;Used car;6187;100-500 DM;4-6 years;1;None;4;24;Rented;2;Skilled;1;Yes;male;married/widowed;1;[675, 739, 753, 417, 153, 384, 860, 202, 477, 311, 748, 208, 670, 804]
45;48;Critical Account / Other Credits Existing at Other Bank;Used car;6143;Less than 100 DM;more than 6 years;4;None;4;58;Free Housing;2;Unskilled - Resident;1;Yes;female;divorced/separated/married;2;[29, 808, 293, 813, 728, 522, 374, 378, 373, 95, 815, 788, 650, 701]
46;11;Critical Account / Other Credits Existing at Other Bank;New car;1393;Less than 100 DM;less than 1 year;4;None;4;35;Ownership;2;Highly Skilled;1;Yes;female;divorced/separated/married;1;[195, 720, 663, 362, 238, 432, 128, 92, 747, 103, 711, 244, 638, 586]
47;36;Existing Credits Paid Back Duly Till Now;Radio/TV;2299;500-1000 DM;more than 6 years;4;None;4;39;Ownership;1;Skilled;1;Yes;male;single;1;[74, 392, 822, 68, 164, 370, 368, 239, 98, 301, 882, 460, 776, 501]
48;6;Existing Credits Paid Back Duly Till Now;Used car;1352;500-1000 DM;Unemployed;1;None;2;23;Rented;1;Unemployed / Unskilled  - Non-Resident;1;Yes;female;divorced/separated/married;1;[350, 795, 837, 922, 513, 633, 817, 752, 111, 623, 391, 155, 797, 721]
49;11;Critical Account / Other Credits Existing at Other Bank;New car;7228;Less than 100 DM;1-3 years;1;None;4;39;Ownership;2;Unskilled - Resident;1;Yes;male;single;1;[199, 659, 121, 106, 268, 387, 884, 742, 919, 42, 182, 594, 791, 950]
50;12;Existing Credits Paid Back Duly Till Now;Radio/TV;2073;100-500 DM;1-3 years;4;Co-applicant;2;28;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[441, 129, 874, 857, 257, 66, 483, 421, 916, 923, 125, 526, 388, 127]
51;24;Delay in Paying Off in the Past;Furniture/Equipment;2333;No Savings Account;less than 1 year;4;None;2;29;Ownership;1;Unskilled - Resident;1;Yes;male;single;1;[692, 235, 279, 984, 935, 841, 40, 442, 426, 694, 959, 946, 88, 949]
52;27;Delay in Paying Off in the Past;Used car;5965;Less than 100 DM;more than 6 years;1;None;2;30;Ownership;2;Highly Skilled;1;Yes;male;single;1;[988, 108, 665, 525, 9, 542, 320, 153, 402, 136, 646, 181, 236, 735]
53;12;Existing Credits Paid Back Duly Till Now;Radio/TV;1262;Less than 100 DM;1-3 years;3;None;2;25;Ownership;1;Skilled;1;Yes;male;single;1;[434, 435, 661, 821, 741, 713, 39, 810, 41, 762, 254, 647, 574, 964]
54;18;Existing Credits Paid Back Duly Till Now;Used car;3378;No Savings Account;1-3 years;2;None;1;31;Ownership;1;Skilled;1;Yes;male;single;1;[224, 962, 107, 32, 343, 216, 353, 454, 598, 459, 559, 323, 689, 112]
55;36;Delay in Paying Off in the Past;New car;2225;Less than 100 DM;more than 6 years;4;None;4;57;Free Housing;2;Skilled;1;Yes;male;single;2;[928, 482, 261, 955, 975, 83, 798, 62, 800, 438, 514, 13, 16, 541]
56;6;All Credits at This Bank Paid Back Duly;New car;783;No Savings Account;1-3 years;1;Guarantor;2;26;Ownership;1;Unskilled - Resident;2;Yes;male;single;1;[489, 811, 505, 220, 346, 233, 970, 587, 336, 954, 524, 85, 561, 201]
57;12;Existing Credits Paid Back Duly Till Now;Radio/TV;6468;No Savings Account;Unemployed;2;None;1;52;Ownership;1;Highly Skilled;1;Yes;male;single;2;[227, 326, 796, 77, 662, 282, 773, 560, 793, 843, 486, 994, 611, 231]
58;36;Critical Account / Other Credits Existing at Other Bank;Radio/TV;9566;Less than 100 DM;1-3 years;2;None;2;31;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;1;[70, 684, 180, 895, 291, 450, 832, 983, 744, 496, 953, 812, 274, 63]
59;18;Existing Credits Paid Back Duly Till Now;New car;1961;Less than 100 DM;more than 6 years;3;None;2;23;Ownership;1;Highly Skilled;1;Yes;female;divorced/separated/married;1;[751, 614, 834, 521, 691, 842, 480, 385, 120, 679, 640, 319, 144, 276]
60;36;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;6229;Less than 100 DM;less than 1 year;4;Co-applicant;4;23;Rented;2;Unskilled - Resident;1;Yes;female;divorced/separated/married;2;[517, 113, 17, 136, 152, 771, 402, 357, 736, 118, 217, 525, 951, 645]
61;9;Existing Credits Paid Back Duly Till Now;Business;1391;Less than 100 DM;1-3 years;2;None;1;27;Ownership;1;Skilled;1;Yes;male;married/widowed;1;[792, 820, 673, 913, 329, 810, 41, 358, 510, 492, 647, 389, 936, 499]
62;15;Critical Account / Other Credits Existing at Other Bank;Radio/TV;1537;No Savings Account;more than 6 years;4;Guarantor;4;50;Ownership;2;Skilled;1;Yes;male;single;1;[303, 619, 251, 422, 356, 581, 2, 288, 801, 823, 588, 398, 485, 726]
63;36;No Credits Taken / All Credits Paid Back Duly;Business;1953;Less than 100 DM;more than 6 years;4;None;4;61;Free Housing;1;Highly Skilled;1;Yes;male;single;2;[438, 487, 541, 465, 83, 13, 838, 678, 213, 781, 237, 179, 784, 715]
64;48;No Credits Taken / All Credits Paid Back Duly;Business;14421;Less than 100 DM;1-3 years;2;None;2;25;Ownership;1;Skilled;1;Yes;male;single;2;[714, 887, 832, 637, 915, 744, 333, 295, 226, 57, 395, 450, 684, 70]
65;24;Existing Credits Paid Back Duly Till Now;Radio/TV;3181;Less than 100 DM;less than 1 year;4;None;4;26;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[896, 466, 630, 500, 312, 612, 634, 355, 802, 455, 966, 534, 743, 605]
66;27;Existing Credits Paid Back Duly Till Now;Repairs;5190;No Savings Account;more than 6 years;4;None;4;48;Ownership;4;Skilled;2;Yes;male;single;1;[956, 214, 212, 669, 607, 989, 289, 560, 978, 683, 843, 183, 702, 924]
67;12;Existing Credits Paid Back Duly Till Now;Radio/TV;2171;Less than 100 DM;less than 1 year;2;None;2;29;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[601, 562, 196, 451, 576, 936, 243, 393, 458, 358, 492, 389, 483, 257]
68;12;Existing Credits Paid Back Duly Till Now;New car;1007;More than 1000 DM;1-3 years;4;None;1;22;Ownership;1;Skilled;1;Yes;male;married/widowed;1;[632, 188, 661, 708, 550, 934, 102, 836, 254, 964, 228, 610, 12, 555]
69;36;Existing Credits Paid Back Duly Till Now;Education;1819;Less than 100 DM;1-3 years;4;None;4;37;Free Housing;1;Skilled;1;Yes;male;single;2;[164, 370, 98, 392, 460, 46, 776, 239, 74, 882, 822, 628, 368, 446]
70;36;Existing Credits Paid Back Duly Till Now;Radio/TV;2394;No Savings Account;1-3 years;4;None;4;25;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[468, 951, 907, 118, 578, 658, 225, 230, 217, 603, 357, 101, 476, 735]
71;36;Existing Credits Paid Back Duly Till Now;Used car;8133;Less than 100 DM;1-3 years;1;None;2;30;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[57, 291, 180, 684, 895, 983, 496, 450, 812, 645, 953, 805, 832, 226]
72;7;Critical Account / Other Credits Existing at Other Bank;Radio/TV;730;No Savings Account;more than 6 years;4;None;2;46;Rented;2;Unskilled - Resident;1;Yes;male;single;1;[551, 157, 484, 139, 398, 23, 925, 933, 21, 345, 726, 251, 823, 600]
73;8;Critical Account / Other Credits Existing at Other Bank;Used car;1164;Less than 100 DM;more than 6 years;3;None;4;51;Free Housing;2;Highly Skilled;2;Yes;male;single;1;[200, 177, 379, 246, 147, 84, 885, 300, 241, 486, 231, 750, 680, 209]
74;42;Critical Account / Other Credits Existing at Other Bank;Business;5954;Less than 100 DM;4-6 years;2;None;1;41;Ownership;2;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[870, 568, 787, 622, 653, 501, 628, 310, 776, 902, 868, 205, 266, 778]
75;36;Existing Credits Paid Back Duly Till Now;Education;1977;No Savings Account;more than 6 years;4;None;4;40;Ownership;1;Highly Skilled;1;Yes;male;single;2;[46, 822, 392, 368, 301, 239, 164, 68, 370, 882, 98, 716, 460, 776]
76;12;Critical Account / Other Credits Existing at Other Bank;Used car;1526;Less than 100 DM;more than 6 years;4;None;4;66;Free Housing;2;Highly Skilled;1;Yes;male;single;1;[137, 774, 629, 723, 976, 219, 883, 0, 807, 554, 769, 187, 779, 987]
77;42;Existing Credits Paid Back Duly Till Now;Radio/TV;3965;Less than 100 DM;less than 1 year;4;None;3;34;Ownership;1;Skilled;1;Yes;male;single;2;[511, 986, 191, 981, 910, 893, 7, 583, 671, 530, 888, 552, 415, 328]
78;11;Delay in Paying Off in the Past;Radio/TV;4771;Less than 100 DM;4-6 years;2;None;4;51;Ownership;1;Skilled;1;Yes;male;single;1;[486, 611, 241, 994, 231, 84, 750, 281, 695, 664, 502, 56, 277, 200]
79;54;No Credits Taken / All Credits Paid Back Duly;Used car;9436;No Savings Account;1-3 years;2;None;2;39;Ownership;1;Unskilled - Resident;2;Yes;male;single;1;[927, 549, 685, 829, 657, 973, 672, 272, 921, 938, 563, 310, 375, 538]
80;30;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;3832;Less than 100 DM;less than 1 year;2;None;1;22;Ownership;1;Skilled;1;Yes;male;married/widowed;1;[605, 229, 495, 911, 743, 966, 312, 405, 340, 523, 208, 802, 572, 306]
81;24;Existing Credits Paid Back Duly Till Now;Radio/TV;5943;No Savings Account;less than 1 year;1;None;1;44;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;2;[833, 42, 520, 939, 884, 851, 958, 406, 890, 971, 901, 211, 268, 292]
82;15;Existing Credits Paid Back Duly Till Now;Radio/TV;1213;500-1000 DM;more than 6 years;4;None;3;47;Ownership;1;Skilled;1;Yes;male;single;1;[354, 635, 891, 588, 835, 149, 726, 427, 282, 925, 609, 823, 581, 485]
83;18;Existing Credits Paid Back Duly Till Now;Business;1568;100-500 DM;1-3 years;3;None;4;24;Rented;1;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[992, 104, 985, 337, 280, 221, 809, 531, 425, 655, 979, 10, 761, 197]
84;24;Existing Credits Paid Back Duly Till Now;Used car;1755;Less than 100 DM;more than 6 years;4;Guarantor;4;58;Ownership;1;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[13, 781, 541, 62, 975, 487, 955, 438, 465, 482, 237, 838, 928, 261]
85;10;Existing Credits Paid Back Duly Till Now;Radio/TV;2315;Less than 100 DM;more than 6 years;3;None;4;52;Ownership;1;Unskilled - Resident;1;Yes;male;single;1;[241, 486, 231, 750, 72, 200, 177, 379, 147, 695, 246, 664, 611, 77]
86;12;Critical Account / Other Credits Existing at Other Bank;Business;1412;Less than 100 DM;1-3 years;4;Guarantor;2;29;Ownership;2;Highly Skilled;1;Yes;female;divorced/separated/married;1;[954, 524, 811, 505, 220, 233, 336, 561, 489, 777, 346, 55, 970, 587]
87;18;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;1295;Less than 100 DM;less than 1 year;4;None;1;27;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;1;[640, 276, 920, 819, 679, 385, 698, 866, 690, 556, 575, 319, 161, 364]
88;36;Existing Credits Paid Back Duly Till Now;Education;12612;100-500 DM;1-3 years;1;None;4;47;Free Housing;1;Skilled;2;Yes;male;single;2;[854, 509, 828, 615, 902, 294, 3, 653, 304, 814, 701, 18, 115, 818]
89;18;Existing Credits Paid Back Duly Till Now;New car;2249;100-500 DM;4-6 years;4;None;3;30;Ownership;1;Highly Skilled;2;Yes;male;single;1;[418, 984, 235, 825, 240, 692, 942, 50, 547, 390, 982, 740, 598, 559]
90;12;No Credits Taken / All Credits Paid Back Duly;Repairs;1108;Less than 100 DM;4-6 years;4;None;3;28;Ownership;2;Skilled;1;Yes;male;single;2;[627, 686, 409, 553, 207, 878, 490, 383, 745, 499, 510, 260, 329, 472]
91;12;Critical Account / Other Credits Existing at Other Bank;Radio/TV;618;Less than 100 DM;more than 6 years;4;None;4;56;Ownership;1;Skilled;1;Yes;male;single;1;[429, 259, 263, 849, 33, 590, 448, 396, 967, 94, 91, 754, 680, 584]
92;12;Critical Account / Other Credits Existing at Other Bank;Used car;1409;Less than 100 DM;more than 6 years;4;None;3;54;Ownership;1;Skilled;1;Yes;male;single;1;[754, 680, 94, 885, 300, 396, 246, 448, 967, 584, 209, 72, 379, 429]
93;12;Critical Account / Other Credits Existing at Other Bank;Radio/TV;797;No Savings Account;more than 6 years;4;None;3;33;Ownership;1;Unskilled - Resident;2;Yes;female;divorced/separated/married;2;[238, 991, 307, 720, 195, 638, 663, 244, 45, 362, 432, 128, 506, 711]
94;24;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;3617;No Savings Account;more than 6 years;4;Co-applicant;4;20;Rented;2;Skilled;1;Yes;male;single;1;[618, 724, 731, 593, 470, 218, 334, 570, 359, 565, 596, 341, 168, 258]
95;12;Existing Credits Paid Back Duly Till Now;New car;1318;More than 1000 DM;more than 6 years;4;None;4;54;Ownership;1;Skilled;1;Yes;male;single;1;[754, 396, 967, 680, 584, 91, 885, 448, 300, 246, 209, 429, 72, 379]
96;54;No Credits Taken / All Credits Paid Back Duly;Business;15945;Less than 100 DM;less than 1 year;3;None;4;58;Rented;1;Skilled;1;Yes;male;single;2;[373, 374, 378, 788, 522, 650, 808, 44, 29, 813, 293, 728, 701, 294]
97;12;Critical Account / Other Credits Existing at Other Bank;Education;2012;No Savings Account;4-6 years;4;None;2;61;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[544, 589, 449, 816, 987, 769, 848, 760, 123, 8, 283, 807, 883, 219]
98;18;Existing Credits Paid Back Duly Till Now;Business;2622;100-500 DM;1-3 years;4;None;4;34;Ownership;1;Skilled;1;Yes;male;single;1;[543, 785, 737, 464, 608, 189, 749, 705, 826, 827, 30, 322, 853, 592]
99;36;Critical Account / Other Credits Existing at Other Bank;Radio/TV;2337;Less than 100 DM;more than 6 years;4;None;4;36;Ownership;1;Skilled;1;Yes;male;single;1;[68, 370, 164, 460, 776, 392, 46, 628, 239, 74, 882, 446, 822, 571]
100;20;Delay in Paying Off in the Past;Used car;7057;No Savings Account;4-6 years;3;None;4;36;Rented;2;Highly Skilled;2;Yes;male;single;1;[154, 880, 889, 106, 996, 791, 387, 716, 239, 882, 507, 491, 158, 659]
101;24;Existing Credits Paid Back Duly Till Now;New car;1469;100-500 DM;more than 6 years;4;None;4;41;Rented;1;Unskilled - Resident;1;Yes;male;married/widowed;1;[380, 919, 786, 497, 594, 182, 121, 742, 950, 199, 369, 674, 591, 648]
102;36;Existing Credits Paid Back Duly Till Now;Radio/TV;2323;Less than 100 DM;4-6 years;4;None;4;24;Rented;1;Skilled;1;Yes;male;single;1;[476, 217, 230, 194, 225, 998, 357, 907, 780, 152, 951, 578, 148, 639]
103;6;Delay in Paying Off in the Past;Radio/TV;932;Less than 100 DM;1-3 years;3;None;2;24;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[708, 934, 308, 67, 550, 836, 12, 424, 610, 171, 661, 632, 254, 931]
104;9;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;1919;Less than 100 DM;4-6 years;4;None;3;35;Rented;1;Skilled;1;Yes;male;single;1;[586, 617, 759, 362, 747, 711, 119, 519, 432, 852, 803, 456, 734, 271]
105;12;Existing Credits Paid Back Duly Till Now;Used car;2445;No Savings Account;less than 1 year;2;None;4;26;Rented;1;Skilled;1;Yes;male;married/widowed;1;[979, 992, 660, 82, 280, 540, 425, 342, 752, 512, 363, 513, 905, 337]
106;24;Critical Account / Other Credits Existing at Other Bank;Used car;11938;Less than 100 DM;1-3 years;2;Co-applicant;3;39;Ownership;2;Highly Skilled;2;Yes;male;single;2;[205, 381, 818, 18, 902, 653, 870, 563, 73, 854, 87, 310, 304, 868]
107;18;All Credits at This Bank Paid Back Duly;New car;6458;Less than 100 DM;more than 6 years;2;None;4;39;Ownership;2;Highly Skilled;2;Yes;male;single;2;[387, 791, 659, 880, 48, 199, 121, 268, 971, 996, 99, 154, 292, 889]
108;12;Existing Credits Paid Back Duly Till Now;New car;6078;Less than 100 DM;4-6 years;2;None;2;32;Ownership;1;Skilled;1;Yes;male;single;1;[224, 459, 32, 454, 343, 53, 353, 216, 719, 112, 962, 598, 371, 984]
109;24;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;7721;No Savings Account;less than 1 year;1;None;2;30;Ownership;1;Skilled;1;No;female;divorced/separated/married;1;[988, 51, 665, 153, 525, 9, 320, 542, 860, 402, 136, 236, 753, 730]
